date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/10/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"2,224,489","$136,806,073.50",7.96%
07/10/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,079,591","$132,730,372.10",7.72%
07/10/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,355,325","$126,953,292.75",7.39%
07/10/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,029,432","$114,338,198.88",6.65%
07/10/2026,ARKG,ABSCI CORP,ABSI,00091E109,"9,869,625","$113,204,598.75",6.59%
07/10/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,533,555","$110,366,580.75",6.42%
07/10/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,134,046","$76,441,527.72",4.45%
07/10/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"453,629","$74,431,446.32",4.33%
07/10/2026,ARKG,ELI LILLY & CO,LLY,532457108,"60,508","$73,635,210.60",4.29%
07/10/2026,ARKG,ILLUMINA INC,ILMN,452327109,"358,021","$69,370,148.96",4.04%
07/10/2026,ARKG,NATERA INC,NTRA,632307104,"238,957","$67,350,030.45",3.92%
07/10/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"13,415,832","$50,443,528.32",2.94%
07/10/2026,ARKG,VERACYTE INC,VCYT,92337F107,"851,880","$50,516,484.00",2.94%
07/10/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,666,440","$48,510,068.40",2.82%
07/10/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,483,791","$47,379,557.60",2.76%
07/10/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,907,237","$44,887,739.28",2.61%
07/10/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,673,718","$41,324,097.42",2.40%
07/10/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,765,960","$38,497,928.00",2.24%
07/10/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,747,165","$38,072,263.30",2.22%
07/10/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,032,455","$34,124,919.45",1.99%
07/10/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"444,753","$30,861,410.67",1.80%
07/10/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"385,242","$24,759,503.34",1.44%
07/10/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"5,531,466","$23,398,101.18",1.36%
07/10/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,255,428","$22,681,431.24",1.32%
07/10/2026,ARKG,CERUS CORP,CERS,157085101,"7,187,326","$22,640,076.90",1.32%
07/10/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"836,221","$22,143,132.08",1.29%
07/10/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,727,539","$19,529,179.24",1.14%
07/10/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"1,176,887","$18,500,663.64",1.08%
07/10/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,577,575","$17,029,895.75",0.99%
07/10/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,895,888","$15,413,569.44",0.90%
07/10/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,727,295","$6,474,348.71",0.38%
07/10/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"5,561,813","$5,561,813.23",0.32%
07/10/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,307,"$28,544.86",0.00%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
