date,fund,company,ticker,cusip,shares,market value ($),weight (%)
10/01/2021,ARKK,TESLA INC,TSLA,88160R101,"2,545,118","$1,973,688,106.64",10.20%
10/01/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,"8,616,386","$1,092,643,908.66",5.65%
10/01/2021,ARKK,ROKU INC,ROKU,77543R102,"3,466,794","$1,086,319,899.90",5.61%
10/01/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"4,333,704","$985,830,985.92",5.10%
10/01/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,"7,661,245","$967,232,181.25",5.00%
10/01/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,"3,302,389","$863,574,723.50",4.46%
10/01/2021,ARKK,SQUARE INC - A,SQ,852234103,"3,256,421","$781,020,012.64",4.04%
10/01/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"3,257,057","$733,945,224.38",3.79%
10/01/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"539,825","$731,883,938.50",3.78%
10/01/2021,ARKK,TWILIO INC - A,TWLO,90138F102,"2,003,447","$639,199,765.35",3.30%
10/01/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,"6,612,351","$631,148,902.95",3.26%
10/01/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"11,768,229","$619,126,527.69",3.20%
10/01/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,"6,757,133","$595,573,702.62",3.08%
10/01/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"23,621,434","$567,859,273.36",2.93%
10/01/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"4,859,384","$543,910,851.12",2.81%
10/01/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"4,001,000","$536,734,150.00",2.77%
10/01/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,"10,801,151","$520,183,432.16",2.69%
10/01/2021,ARKK,TWITTER INC,TWTR,90184L102,"7,884,081","$476,119,651.59",2.46%
10/01/2021,ARKK,INVITAE CORP,NVTA,46185L103,"15,543,836","$441,911,257.48",2.28%
10/01/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"4,828,542","$420,131,439.42",2.17%
10/01/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,"6,068,939","$359,706,014.53",1.86%
10/01/2021,ARKK,DOCUSIGN INC,DOCU,256163106,"1,253,221","$322,616,682.03",1.67%
10/01/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,092,907","$304,685,401.06",1.57%
10/01/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"7,285,612","$290,331,638.20",1.50%
10/01/2021,ARKK,PAGERDUTY INC,PD,69553P100,"6,813,744","$282,225,276.48",1.46%
10/01/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,"7,014,748","$260,457,593.24",1.35%
10/01/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,556,044","$233,798,331.52",1.21%
10/01/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"8,059,777","$205,927,302.35",1.06%
10/01/2021,ARKK,VERACYTE INC,VCYT,92337F107,"3,671,562","$170,544,054.90",0.88%
10/01/2021,ARKK,2U INC,TWOU,90214J101,"5,026,192","$168,729,265.44",0.87%
10/01/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,572,732","$168,235,142.04",0.87%
10/01/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,"3,961,353","$162,732,381.24",0.84%
10/01/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,"8,737,286","$156,135,300.82",0.81%
10/01/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,"11,536,257","$133,705,218.63",0.69%
10/01/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,"5,312,590","$131,008,469.40",0.68%
10/01/2021,ARKK,SKILLZ INC,SKLZ,83067L109,"11,864,469","$116,509,085.58",0.60%
10/01/2021,ARKK,TRIMBLE INC,TRMB,896239100,"1,347,244","$110,810,819.00",0.57%
10/01/2021,ARKK,PROTO LABS INC,PRLB,743713109,"1,495,856","$99,624,009.60",0.51%
10/01/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,"4,624,845","$90,461,968.20",0.47%
10/01/2021,ARKK,STRATASYS LTD,SSYS,M85548101,"3,539,869","$76,177,980.88",0.39%
10/01/2021,ARKK,CERUS CORP,CERS,157085101,"10,421,872","$63,469,200.48",0.33%
10/01/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,"3,153,225","$63,379,822.50",0.33%
10/01/2021,ARKK,SEA LTD-ADR,SE,81141R100,"189,212","$60,307,540.76",0.31%
10/01/2021,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"38,943,566.20","$38,943,566.20",0.20%
10/01/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,"5,482,998","$32,733,498.06",0.17%
10/01/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,"626,462","$30,076,440.62",0.16%
10/01/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,"117,316","$6,950,973.00",0.04%
10/01/2021,ARKK,TERADYNE INC,TER,880770102,475,"$51,855.75",0.00%
