date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/28/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"438,241","$146,648,585.83",8.69%
04/28/2026,ARKW,TESLA INC,TSLA,88160R101,"376,625","$142,616,588.75",8.46%
04/28/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,937,558","$100,486,086.40",5.96%
04/28/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,006,503","$84,495,926.85",5.01%
04/28/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"621,404","$77,197,018.92",4.58%
04/28/2026,ARKW,ROKU INC,ROKU,77543R102,"624,422","$71,421,388.36",4.23%
04/28/2026,ARKW,AMAZON.COM INC,AMZN,023135106,"264,108","$68,963,880.96",4.09%
04/28/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"721,085","$68,820,352.40",4.08%
04/28/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"583,683","$65,407,516.98",3.88%
04/28/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"331,498","$65,199,026.64",3.87%
04/28/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"171,742","$59,855,521.84",3.55%
04/28/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"918,541","$52,834,478.32",3.13%
04/28/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"338,494","$48,438,491.40",2.87%
04/28/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"118,237","$47,883,620.26",2.84%
04/28/2026,ARKW,BLOCK INC,XYZ,852234103,"669,661","$47,733,436.08",2.83%
04/28/2026,ARKW,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"62,528","$42,999,686.48",2.55%
04/28/2026,ARKW,BROADCOM INC,AVGO,11135F101,"93,375","$39,049,425.00",2.32%
04/28/2026,ARKW,BULLISH,BLSH,G16910120,"906,751","$35,281,681.41",2.09%
04/28/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,565,383","$33,734,003.65",2.00%
04/28/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"147,144","$31,247,499.84",1.85%
04/28/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"45,335","$30,765,237.70",1.82%
04/28/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"67,222","$30,559,793.42",1.81%
04/28/2026,ARKW,EVERPURE INC-A,PSTG,74624M102,"340,359","$25,176,355.23",1.49%
04/28/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"185,414","$24,597,021.24",1.46%
04/28/2026,ARKW,NETFLIX INC,NFLX,64110L106,"236,547","$21,613,299.39",1.28%
04/28/2026,ARKW,NVIDIA CORP,NVDA,67066G104,"89,862","$19,465,007.82",1.15%
04/28/2026,ARKW,RUBRIK INC-A,RBRK,781154109,"342,686","$18,251,456.36",1.08%
04/28/2026,ARKW,FIGMA INC-CL A,,316841105,"1,038,031","$17,968,316.61",1.07%
04/28/2026,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"134,143","$17,776,630.36",1.05%
04/28/2026,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,"134,072","$17,162,556.72",1.02%
04/28/2026,ARKW,TOAST INC-CLASS A,TOST,888787108,"595,456","$17,059,814.40",1.01%
04/28/2026,ARKW,DOORDASH INC - A,DASH,25809K105,"97,068","$16,895,656.08",1.00%
04/28/2026,ARKW,MERCADOLIBRE INC,MELI,58733R102,"8,976","$16,509,377.28",0.98%
04/28/2026,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"680,253","$16,006,353.09",0.95%
04/28/2026,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"31,364","$15,550,898.48",0.92%
04/28/2026,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"3,225,022","$14,254,597.24",0.85%
04/28/2026,ARKW,GITLAB INC-CL A,GTLB,37637K108,"650,273","$13,948,355.85",0.83%
04/28/2026,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,"66,010","$9,311,370.60",0.55%
04/28/2026,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"822,313","$7,310,362.57",0.43%
04/28/2026,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"439,354","$3,013,968.44",0.18%
04/28/2026,ARKW,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"1,706,188","$1,308,304.96",0.08%
04/28/2026,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,226,270","$1,226,269.72",0.07%
04/28/2026,ARKW,BRERA HOLDINGS PLC WTS,,BREADUMMY,"1,395,691","$669,931.68",0.04%
