date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/27/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,849,831","$112,728,701.14",9.84%
04/27/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"1,974,142","$102,892,281.04",8.99%
04/27/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,979,100","$96,550,393.50",8.43%
04/27/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,041,049","$67,146,361.92",5.86%
04/27/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,081,127","$56,419,352.97",4.93%
04/27/2026,ARKG,ILLUMINA INC,ILMN,452327109,"369,560","$47,259,332.80",4.13%
04/27/2026,ARKG,NATERA INC,NTRA,632307104,"229,312","$46,722,320.00",4.08%
04/27/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,542,236","$46,007,639.60",4.02%
04/27/2026,ARKG,ABSCI CORP,ABSI,00091E109,"11,172,562","$44,019,894.28",3.84%
04/27/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"466,649","$41,489,762.59",3.62%
04/27/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"11,805,714","$41,438,056.14",3.62%
04/27/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,890,687","$40,139,285.01",3.51%
04/27/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,847,883","$38,816,645.29",3.39%
04/27/2026,ARKG,VERACYTE INC,VCYT,92337F107,"940,734","$32,295,398.22",2.82%
04/27/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,119,635","$29,886,103.30",2.61%
04/27/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,997,778","$28,248,580.92",2.47%
04/27/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,621,618","$27,048,588.24",2.36%
04/27/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"377,527","$25,871,925.31",2.26%
04/27/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,599,390","$24,514,748.70",2.14%
04/27/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"1,969,180","$23,216,632.20",2.03%
04/27/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,642,639","$22,700,269.01",1.98%
04/27/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"271,178","$19,869,212.06",1.74%
04/27/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,122,953","$19,089,272.39",1.67%
04/27/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,634,020","$17,145,874.00",1.50%
04/27/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,315,253","$16,091,794.68",1.41%
04/27/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"561,256","$13,941,599.04",1.22%
04/27/2026,ARKG,CERUS CORP,CERS,157085101,"7,009,093","$13,878,004.14",1.21%
04/27/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"119,432","$12,595,298.72",1.10%
04/27/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,836,863","$12,380,456.62",1.08%
04/27/2026,ARKG,ELI LILLY & CO,LLY,532457108,"11,836","$10,462,550.56",0.91%
04/27/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"473,739","$6,063,859.20",0.53%
04/27/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,517,870","$5,903,886.65",0.52%
04/27/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"2,321,862","$2,321,862.10",0.20%
