date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/15/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,064,251","$140,312,053.29",8.57%
07/15/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"2,241,580","$131,513,498.60",8.03%
07/15/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,316,545","$121,819,908.85",7.44%
07/15/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,055,022","$106,036,980.66",6.47%
07/15/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,019,324","$101,895,089.04",6.22%
07/15/2026,ARKG,ABSCI CORP,ABSI,00091E109,"9,813,765","$100,394,815.95",6.13%
07/15/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"451,373","$72,269,331.03",4.41%
07/15/2026,ARKG,ELI LILLY & CO,LLY,532457108,"60,208","$69,392,128.32",4.24%
07/15/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,220,424","$68,588,897.36",4.19%
07/15/2026,ARKG,ILLUMINA INC,ILMN,452327109,"356,241","$68,113,279.20",4.16%
07/15/2026,ARKG,NATERA INC,NTRA,632307104,"237,769","$64,830,095.54",3.96%
07/15/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,658,140","$47,969,990.20",2.93%
07/15/2026,ARKG,VERACYTE INC,VCYT,92337F107,"847,640","$47,993,376.80",2.93%
07/15/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,515,965","$47,078,771.35",2.87%
07/15/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"13,503,707","$45,102,381.38",2.75%
07/15/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,892,757","$38,473,668.10",2.35%
07/15/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,665,382","$38,270,478.36",2.34%
07/15/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,757,164","$37,656,024.52",2.30%
07/15/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,723,521","$36,607,287.75",2.24%
07/15/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,022,331","$32,620,199.03",1.99%
07/15/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"526,369","$28,913,449.17",1.77%
07/15/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"442,541","$27,627,834.63",1.69%
07/15/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,234,232","$24,008,095.44",1.47%
07/15/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"881,375","$23,841,193.75",1.46%
07/15/2026,ARKG,CERUS CORP,CERS,157085101,"7,151,526","$21,955,184.82",1.34%
07/15/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"6,130,834","$21,273,993.98",1.30%
07/15/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,713,955","$17,287,893.35",1.06%
07/15/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"1,225,627","$17,416,159.67",1.06%
07/15/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,524,887","$15,787,330.50",0.96%
07/15/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,886,444","$15,393,383.04",0.94%
07/15/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,693,787","$5,798,158.30",0.35%
07/15/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,622,829","$1,622,828.66",0.10%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
