date,fund,company,ticker,cusip,weight,shares_held,market_value
2014-10-31,ARKG,1856613D US Equity,1856613D,61166W101,6.9621,1208,137337.52
2014-10-31,ARKG,TMO US Equity,TMO,883556102,5.9695,1010,117755.9
2014-10-31,ARKG,CPHD US Equity,CPHD,15670R107,5.1784,1914,102150.18
2014-10-31,ARKG,FMI US Equity,FMI,350465100,4.6109,3370,90956.3
2014-10-31,ARKG,PACB US Equity,PACB,69404D108,4.2989,12810,84802.2
2014-10-31,ARKG,NVS US Equity,NVS,66987V109,3.9528,848,77973.6
2014-10-31,ARKG,BAYRY US Equity,BAYRY,072730302,3.766,2136,74290.08
2014-10-31,ARKG,CRAY US Equity,CRAY,225223304,3.5652,2126,70328.08
2014-10-31,ARKG,NVDA US Equity,NVDA,67066G104,3.4317,144880,67695.18
2014-10-31,ARKG,CGEN US Equity,CGEN,,3.2077,8448,63275.52
2014-10-31,ARKG,BIIB US Equity,BIIB,09062X103,2.9942,184,59064
2014-10-31,ARKG,LAB US Equity,LAB,34385P108,2.8233,1906,55693.32
2014-10-31,ARKG,GILD US Equity,GILD,375558103,2.7446,474,54140.28
2014-10-31,ARKG,CERS US Equity,CERS,157085101,2.2938,10474,45247.68
2014-10-31,ARKG,QCOM US Equity,QCOM,747525103,2.2513,574,44410.38
2014-10-31,ARKG,CELG US Equity,CELG,151020104,2.0058,370,39567.8
2014-10-31,ARKG,2544554D US Equity,2544554D,80004C101,1.9686,430,38833.3
2014-10-31,ARKG,GOOG US Equity,GOOG,02079K107,1.9528,1403.8437,38521.7
2014-10-31,ARKG,MTD US Equity,MTD,592688105,1.7258,132,34042.8
2014-10-31,ARKG,MDSO US Equity,MDSO,58471A105,1.5907,734,31378.5
2014-10-31,ARKG,GSK US Equity,GSK,37733W204,1.5881,555.2,31327.16
2014-10-31,ARKG,AFFX US Equity,AFFX,00826T108,1.5366,3652,30311.6
2014-10-31,ARKG,AZN US Equity,AZN,046353108,1.5089,820,29766
2014-10-31,ARKG,1885807D US Equity,1885807D,04685W103,1.5007,246,29603.64
2014-10-31,ARKG,TVIAQ US Equity,TVIAQ,88105A106,1.4713,4188,29022.84
2014-10-31,ARKG,ALNY US Equity,ALNY,02043Q107,1.0948,228,21596.16
2014-10-31,ARKG,INCY US Equity,INCY,45337C102,1.0932,336,21564.48
2014-10-31,ARKG,JNJ US Equity,JNJ,478160104,1.0093,186,19909.44
2014-10-31,ARKG,AMZN US Equity,AMZN,023135106,1.0006,1320,19738.62
2014-10-31,ARKG,RHHBY US Equity,RHHBY,771195104,0.9989,530,19705.4
2014-10-31,ARKG,BLUE US Equity,BLUE,09609G209,0.9963,23.8,19654.04
2014-10-31,ARKG,BMRN US Equity,BMRN,09061G101,0.9937,238,19601.68
2014-10-31,ARKG,ABBV US Equity,ABBV,00287Y109,0.9925,320,19577.6
2014-10-31,ARKG,CLVSQ US Equity,CLVSQ,189464100,0.9897,330,19522.8
2014-10-31,ARKG,EXAS US Equity,EXAS,30063P105,0.986,784,19451.04
2014-10-31,ARKG,DATA US Equity,DATA,87336U105,0.9817,240,19365.6
2014-10-31,ARKG,IONS US Equity,IONS,462222100,0.9815,422,19361.36
2014-10-31,ARKG,SPLK US Equity,SPLK,848637104,0.9792,294,19315.8
2014-10-31,ARKG,EVGN IT Equity,EVGN,,0.9713,173.4,19160.7
2014-10-31,ARKG,REGN US Equity,REGN,75886F107,0.9558,48,18854.4
2014-10-31,ARKG,SGMO US Equity,SGMO,800677106,0.9503,1574,18746.34
2014-10-31,ARKG,KITE US Equity,KITE,49803L109,0.4819,266,9506.84
2014-10-31,ARKG,ROSGQ US Equity,ROSGQ,,0.298,158,5877.6
2014-10-31,ARKG,BINDQ US Equity,BINDQ,233242106,0.2284,504,4505.76
2014-10-31,ARKG,VCYT US Equity,VCYT,92337F107,0.1993,494,3932.24
2014-10-31,ARKG,QURE US Equity,QURE,,0.1956,352,3857.92
2014-10-31,ARKG,LUMO US Equity,LUMO,55028X109,0.1924,12.4444,3794.56
2014-10-31,ARKG,LRMR US Equity,LRMR,517125100,0.1017,7.8333,2005.96
2014-10-31,ARKG,CASC US Equity,CASC,14740B606,0.0999,171,1969.92
2014-10-31,ARKG,NSTGQ US Equity,NSTGQ,63009R109,0.0994,182,1960.14
2014-10-31,ARKG,TKM CN Equity,TKM,87911B209,0.091,106,1795.64
2014-10-31,ARKG,USD Curncy,USD,,0,100000,0
2014-11-03,ARKG,ILMN US Equity,ILMN,452327109,7.1381,728,140809.76
2014-11-03,ARKG,1856613D US Equity,1856613D,61166W101,6.9621,1208,137337.52
2014-11-03,ARKG,TMO US Equity,TMO,883556102,5.9695,1010,117755.9
2014-11-03,ARKG,CPHD US Equity,CPHD,15670R107,5.1784,1914,102150.18
2014-11-03,ARKG,FMI US Equity,FMI,350465100,4.6109,3370,90956.3
2014-11-03,ARKG,PACB US Equity,PACB,69404D108,4.2989,12810,84802.2
2014-11-03,ARKG,NVS US Equity,NVS,66987V109,3.9528,848,77973.6
2014-11-03,ARKG,BAYRY US Equity,BAYRY,072730302,3.766,2136,74290.08
2014-11-03,ARKG,CRAY US Equity,CRAY,225223304,3.5652,2126,70328.08
2014-11-03,ARKG,NVDA US Equity,NVDA,67066G104,3.4317,144880,67695.18
2014-11-03,ARKG,CGEN US Equity,CGEN,,3.2077,8448,63275.52
2014-11-03,ARKG,BIIB US Equity,BIIB,09062X103,2.9942,184,59064
2014-11-03,ARKG,LAB US Equity,LAB,34385P108,2.8233,1906,55693.32
2014-11-03,ARKG,GILD US Equity,GILD,375558103,2.7446,474,54140.28
2014-11-03,ARKG,CERS US Equity,CERS,157085101,2.2938,10474,45247.68
2014-11-03,ARKG,QCOM US Equity,QCOM,747525103,2.2513,574,44410.38
2014-11-03,ARKG,CELG US Equity,CELG,151020104,2.0058,370,39567.8
2014-11-03,ARKG,2544554D US Equity,2544554D,80004C101,1.9686,430,38833.3
2014-11-03,ARKG,GOOG US Equity,GOOG,02079K107,1.9528,1403.8437,38521.7
2014-11-03,ARKG,MTD US Equity,MTD,592688105,1.7258,132,34042.8
2014-11-03,ARKG,MDSO US Equity,MDSO,58471A105,1.5907,734,31378.5
2014-11-03,ARKG,GSK US Equity,GSK,37733W204,1.5881,555.2,31327.16
2014-11-03,ARKG,AFFX US Equity,AFFX,00826T108,1.5366,3652,30311.6
2014-11-03,ARKG,AZN US Equity,AZN,046353108,1.5089,820,29766
2014-11-03,ARKG,1885807D US Equity,1885807D,04685W103,1.5007,246,29603.64
2014-11-03,ARKG,TVIAQ US Equity,TVIAQ,88105A106,1.4713,4188,29022.84
2014-11-03,ARKG,ALNY US Equity,ALNY,02043Q107,1.0948,228,21596.16
2014-11-03,ARKG,INCY US Equity,INCY,45337C102,1.0932,336,21564.48
2014-11-03,ARKG,JNJ US Equity,JNJ,478160104,1.0093,186,19909.44
2014-11-03,ARKG,AMZN US Equity,AMZN,023135106,1.0006,1320,19738.62
2014-11-03,ARKG,RHHBY US Equity,RHHBY,771195104,0.9989,530,19705.4
2014-11-03,ARKG,BLUE US Equity,BLUE,09609G209,0.9963,23.8,19654.04
2014-11-03,ARKG,BMRN US Equity,BMRN,09061G101,0.9937,238,19601.68
2014-11-03,ARKG,ABBV US Equity,ABBV,00287Y109,0.9925,320,19577.6
2014-11-03,ARKG,CLVSQ US Equity,CLVSQ,189464100,0.9897,330,19522.8
2014-11-03,ARKG,EXAS US Equity,EXAS,30063P105,0.986,784,19451.04
2014-11-03,ARKG,DATA US Equity,DATA,87336U105,0.9817,240,19365.6
2014-11-03,ARKG,IONS US Equity,IONS,462222100,0.9815,422,19361.36
2014-11-03,ARKG,SPLK US Equity,SPLK,848637104,0.9792,294,19315.8
2014-11-03,ARKG,EVGN IT Equity,EVGN,,0.9713,173.4,19160.7
2014-11-03,ARKG,REGN US Equity,REGN,75886F107,0.9558,48,18854.4
2014-11-03,ARKG,SGMO US Equity,SGMO,800677106,0.9503,1574,18746.34
2014-11-03,ARKG,KITE US Equity,KITE,49803L109,0.4819,266,9506.84
2014-11-03,ARKG,ROSGQ US Equity,ROSGQ,,0.298,158,5877.6
2014-11-03,ARKG,BINDQ US Equity,BINDQ,233242106,0.2284,504,4505.76
2014-11-03,ARKG,VCYT US Equity,VCYT,92337F107,0.1993,494,3932.24
2014-11-03,ARKG,QURE US Equity,QURE,,0.1956,352,3857.92
2014-11-03,ARKG,LUMO US Equity,LUMO,55028X109,0.1924,12.4444,3794.56
2014-11-03,ARKG,LRMR US Equity,LRMR,517125100,0.1017,7.8333,2005.96
2014-11-03,ARKG,CASC US Equity,CASC,14740B606,0.0999,171,1969.92
2014-11-03,ARKG,NSTGQ US Equity,NSTGQ,63009R109,0.0994,182,1960.14
2014-11-03,ARKG,TKM CN Equity,TKM,87911B209,0.091,106,1795.64
2014-11-03,ARKG,USD Curncy,USD,,0,100000,0
2014-11-04,ARKG,ILMN US Equity,ILMN,452327109,7.1381,728,140809.76
2014-11-04,ARKG,1856613D US Equity,1856613D,61166W101,6.9621,1208,137337.52
2014-11-04,ARKG,TMO US Equity,TMO,883556102,5.9695,1010,117755.9
2014-11-04,ARKG,CPHD US Equity,CPHD,15670R107,5.1784,1914,102150.18
2014-11-04,ARKG,FMI US Equity,FMI,350465100,4.6109,3370,90956.3
2014-11-04,ARKG,PACB US Equity,PACB,69404D108,4.2989,12810,84802.2
2014-11-04,ARKG,NVS US Equity,NVS,66987V109,3.9528,848,77973.6
2014-11-04,ARKG,BAYRY US Equity,BAYRY,072730302,3.766,2136,74290.08
2014-11-04,ARKG,CRAY US Equity,CRAY,225223304,3.5652,2126,70328.08
2014-11-04,ARKG,NVDA US Equity,NVDA,67066G104,3.4317,144880,67695.18
2014-11-04,ARKG,CGEN US Equity,CGEN,,3.2077,8448,63275.52
2014-11-04,ARKG,BIIB US Equity,BIIB,09062X103,2.9942,184,59064
2014-11-04,ARKG,LAB US Equity,LAB,34385P108,2.8233,1906,55693.32
2014-11-04,ARKG,GILD US Equity,GILD,375558103,2.7446,474,54140.28
2014-11-04,ARKG,CERS US Equity,CERS,157085101,2.2938,10474,45247.68
2014-11-04,ARKG,QCOM US Equity,QCOM,747525103,2.2513,574,44410.38
2014-11-04,ARKG,CELG US Equity,CELG,151020104,2.0058,370,39567.8
2014-11-04,ARKG,2544554D US Equity,2544554D,80004C101,1.9686,430,38833.3
2014-11-04,ARKG,GOOG US Equity,GOOG,02079K107,1.9528,1403.8437,38521.7
2014-11-04,ARKG,MTD US Equity,MTD,592688105,1.7258,132,34042.8
2014-11-04,ARKG,MDSO US Equity,MDSO,58471A105,1.5907,734,31378.5
2014-11-04,ARKG,GSK US Equity,GSK,37733W204,1.5881,555.2,31327.16
2014-11-04,ARKG,AFFX US Equity,AFFX,00826T108,1.5366,3652,30311.6
2014-11-04,ARKG,AZN US Equity,AZN,046353108,1.5089,820,29766
2014-11-04,ARKG,1885807D US Equity,1885807D,04685W103,1.5007,246,29603.64
2014-11-04,ARKG,TVIAQ US Equity,TVIAQ,88105A106,1.4713,4188,29022.84
2014-11-04,ARKG,ALNY US Equity,ALNY,02043Q107,1.0948,228,21596.16
2014-11-04,ARKG,INCY US Equity,INCY,45337C102,1.0932,336,21564.48
2014-11-04,ARKG,JNJ US Equity,JNJ,478160104,1.0093,186,19909.44
2014-11-04,ARKG,AMZN US Equity,AMZN,023135106,1.0006,1320,19738.62
2014-11-04,ARKG,RHHBY US Equity,RHHBY,771195104,0.9989,530,19705.4
2014-11-04,ARKG,BLUE US Equity,BLUE,09609G209,0.9963,23.8,19654.04
2014-11-04,ARKG,BMRN US Equity,BMRN,09061G101,0.9937,238,19601.68
2014-11-04,ARKG,ABBV US Equity,ABBV,00287Y109,0.9925,320,19577.6
2014-11-04,ARKG,CLVSQ US Equity,CLVSQ,189464100,0.9897,330,19522.8
2014-11-04,ARKG,EXAS US Equity,EXAS,30063P105,0.986,784,19451.04
2014-11-04,ARKG,DATA US Equity,DATA,87336U105,0.9817,240,19365.6
2014-11-04,ARKG,IONS US Equity,IONS,462222100,0.9815,422,19361.36
2014-11-04,ARKG,SPLK US Equity,SPLK,848637104,0.9792,294,19315.8
2014-11-04,ARKG,EVGN IT Equity,EVGN,,0.9713,173.4,19160.7
2014-11-04,ARKG,REGN US Equity,REGN,75886F107,0.9558,48,18854.4
2014-11-04,ARKG,SGMO US Equity,SGMO,800677106,0.9503,1574,18746.34
2014-11-04,ARKG,KITE US Equity,KITE,49803L109,0.4819,266,9506.84
2014-11-04,ARKG,ROSGQ US Equity,ROSGQ,,0.298,158,5877.6
2014-11-04,ARKG,BINDQ US Equity,BINDQ,233242106,0.2284,504,4505.76
2014-11-04,ARKG,VCYT US Equity,VCYT,92337F107,0.1993,494,3932.24
2014-11-04,ARKG,QURE US Equity,QURE,,0.1956,352,3857.92
2014-11-04,ARKG,LUMO US Equity,LUMO,55028X109,0.1924,12.4444,3794.56
2014-11-04,ARKG,LRMR US Equity,LRMR,517125100,0.1017,7.8333,2005.96
2014-11-04,ARKG,CASC US Equity,CASC,14740B606,0.0999,171,1969.92
2014-11-04,ARKG,NSTGQ US Equity,NSTGQ,63009R109,0.0994,182,1960.14
2014-11-04,ARKG,TKM CN Equity,TKM,87911B209,0.091,106,1795.64
2014-11-04,ARKG,USD Curncy,USD,,0,100000,0
2014-11-05,ARKG,ILMN US Equity,ILMN,452327109,7.1381,728,140809.76
2014-11-05,ARKG,1856613D US Equity,1856613D,61166W101,6.9621,1208,137337.52
2014-11-05,ARKG,TMO US Equity,TMO,883556102,5.9695,1010,117755.9
2014-11-05,ARKG,CPHD US Equity,CPHD,15670R107,5.1784,1914,102150.18
2014-11-05,ARKG,FMI US Equity,FMI,350465100,4.6109,3370,90956.3
2014-11-05,ARKG,PACB US Equity,PACB,69404D108,4.2989,12810,84802.2
2014-11-05,ARKG,NVS US Equity,NVS,66987V109,3.9528,848,77973.6
2014-11-05,ARKG,BAYRY US Equity,BAYRY,072730302,3.766,2136,74290.08
2014-11-05,ARKG,CRAY US Equity,CRAY,225223304,3.5652,2126,70328.08
2014-11-05,ARKG,NVDA US Equity,NVDA,67066G104,3.4317,144880,67695.18
2014-11-05,ARKG,CGEN US Equity,CGEN,,3.2077,8448,63275.52
2014-11-05,ARKG,BIIB US Equity,BIIB,09062X103,2.9942,184,59064
2014-11-05,ARKG,LAB US Equity,LAB,34385P108,2.8233,1906,55693.32
2014-11-05,ARKG,GILD US Equity,GILD,375558103,2.7446,474,54140.28
2014-11-05,ARKG,CERS US Equity,CERS,157085101,2.2938,10474,45247.68
2014-11-05,ARKG,QCOM US Equity,QCOM,747525103,2.2513,574,44410.38
2014-11-05,ARKG,CELG US Equity,CELG,151020104,2.0058,370,39567.8
2014-11-05,ARKG,2544554D US Equity,2544554D,80004C101,1.9686,430,38833.3
2014-11-05,ARKG,GOOG US Equity,GOOG,02079K107,1.9528,1403.8437,38521.7
2014-11-05,ARKG,MTD US Equity,MTD,592688105,1.7258,132,34042.8
2014-11-05,ARKG,MDSO US Equity,MDSO,58471A105,1.5907,734,31378.5
2014-11-05,ARKG,GSK US Equity,GSK,37733W204,1.5881,555.2,31327.16
2014-11-05,ARKG,AFFX US Equity,AFFX,00826T108,1.5366,3652,30311.6
2014-11-05,ARKG,AZN US Equity,AZN,046353108,1.5089,820,29766
2014-11-05,ARKG,1885807D US Equity,1885807D,04685W103,1.5007,246,29603.64
2014-11-05,ARKG,TVIAQ US Equity,TVIAQ,88105A106,1.4713,4188,29022.84
2014-11-05,ARKG,ALNY US Equity,ALNY,02043Q107,1.0948,228,21596.16
2014-11-05,ARKG,INCY US Equity,INCY,45337C102,1.0932,336,21564.48
2014-11-05,ARKG,JNJ US Equity,JNJ,478160104,1.0093,186,19909.44
2014-11-05,ARKG,AMZN US Equity,AMZN,023135106,1.0006,1320,19738.62
2014-11-05,ARKG,RHHBY US Equity,RHHBY,771195104,0.9989,530,19705.4
2014-11-05,ARKG,BLUE US Equity,BLUE,09609G209,0.9963,23.8,19654.04
2014-11-05,ARKG,BMRN US Equity,BMRN,09061G101,0.9937,238,19601.68
2014-11-05,ARKG,ABBV US Equity,ABBV,00287Y109,0.9925,320,19577.6
2014-11-05,ARKG,CLVSQ US Equity,CLVSQ,189464100,0.9897,330,19522.8
2014-11-05,ARKG,EXAS US Equity,EXAS,30063P105,0.986,784,19451.04
2014-11-05,ARKG,DATA US Equity,DATA,87336U105,0.9817,240,19365.6
2014-11-05,ARKG,IONS US Equity,IONS,462222100,0.9815,422,19361.36
2014-11-05,ARKG,SPLK US Equity,SPLK,848637104,0.9792,294,19315.8
2014-11-05,ARKG,EVGN IT Equity,EVGN,,0.9713,173.4,19160.7
2014-11-05,ARKG,REGN US Equity,REGN,75886F107,0.9558,48,18854.4
2014-11-05,ARKG,SGMO US Equity,SGMO,800677106,0.9503,1574,18746.34
2014-11-05,ARKG,KITE US Equity,KITE,49803L109,0.4819,266,9506.84
2014-11-05,ARKG,ROSGQ US Equity,ROSGQ,,0.298,158,5877.6
2014-11-05,ARKG,BINDQ US Equity,BINDQ,233242106,0.2284,504,4505.76
2014-11-05,ARKG,VCYT US Equity,VCYT,92337F107,0.1993,494,3932.24
2014-11-05,ARKG,QURE US Equity,QURE,,0.1956,352,3857.92
2014-11-05,ARKG,LUMO US Equity,LUMO,55028X109,0.1924,12.4444,3794.56
2014-11-05,ARKG,LRMR US Equity,LRMR,517125100,0.1017,7.8333,2005.96
2014-11-05,ARKG,CASC US Equity,CASC,14740B606,0.0999,171,1969.92
2014-11-05,ARKG,NSTGQ US Equity,NSTGQ,63009R109,0.0994,182,1960.14
2014-11-05,ARKG,TKM CN Equity,TKM,87911B209,0.091,106,1795.64
2014-11-05,ARKG,USD Curncy,USD,,0,100000,0
2014-11-06,ARKG,ILMN US Equity,ILMN,452327109,7.1381,728,140809.76
2014-11-06,ARKG,1856613D US Equity,1856613D,61166W101,6.9621,1208,137337.52
2014-11-06,ARKG,TMO US Equity,TMO,883556102,5.9695,1010,117755.9
2014-11-06,ARKG,CPHD US Equity,CPHD,15670R107,5.1784,1914,102150.18
2014-11-06,ARKG,FMI US Equity,FMI,350465100,4.6109,3370,90956.3
2014-11-06,ARKG,PACB US Equity,PACB,69404D108,4.2989,12810,84802.2
2014-11-06,ARKG,NVS US Equity,NVS,66987V109,3.9528,848,77973.6
2014-11-06,ARKG,BAYRY US Equity,BAYRY,072730302,3.766,2136,74290.08
2014-11-06,ARKG,CRAY US Equity,CRAY,225223304,3.5652,2126,70328.08
2014-11-06,ARKG,NVDA US Equity,NVDA,67066G104,3.4317,144880,67695.18
2014-11-06,ARKG,CGEN US Equity,CGEN,,3.2077,8448,63275.52
2014-11-06,ARKG,BIIB US Equity,BIIB,09062X103,2.9942,184,59064
2014-11-06,ARKG,LAB US Equity,LAB,34385P108,2.8233,1906,55693.32
2014-11-06,ARKG,GILD US Equity,GILD,375558103,2.7446,474,54140.28
2014-11-06,ARKG,CERS US Equity,CERS,157085101,2.2938,10474,45247.68
2014-11-06,ARKG,QCOM US Equity,QCOM,747525103,2.2513,574,44410.38
2014-11-06,ARKG,CELG US Equity,CELG,151020104,2.0058,370,39567.8
2014-11-06,ARKG,2544554D US Equity,2544554D,80004C101,1.9686,430,38833.3
2014-11-06,ARKG,GOOG US Equity,GOOG,02079K107,1.9528,1403.8437,38521.7
2014-11-06,ARKG,MTD US Equity,MTD,592688105,1.7258,132,34042.8
2014-11-06,ARKG,MDSO US Equity,MDSO,58471A105,1.5907,734,31378.5
2014-11-06,ARKG,GSK US Equity,GSK,37733W204,1.5881,555.2,31327.16
2014-11-06,ARKG,AFFX US Equity,AFFX,00826T108,1.5366,3652,30311.6
2014-11-06,ARKG,AZN US Equity,AZN,046353108,1.5089,820,29766
2014-11-06,ARKG,1885807D US Equity,1885807D,04685W103,1.5007,246,29603.64
2014-11-06,ARKG,TVIAQ US Equity,TVIAQ,88105A106,1.4713,4188,29022.84
2014-11-06,ARKG,ALNY US Equity,ALNY,02043Q107,1.0948,228,21596.16
2014-11-06,ARKG,INCY US Equity,INCY,45337C102,1.0932,336,21564.48
2014-11-06,ARKG,JNJ US Equity,JNJ,478160104,1.0093,186,19909.44
2014-11-06,ARKG,AMZN US Equity,AMZN,023135106,1.0006,1320,19738.62
2014-11-06,ARKG,RHHBY US Equity,RHHBY,771195104,0.9989,530,19705.4
2014-11-06,ARKG,BLUE US Equity,BLUE,09609G209,0.9963,23.8,19654.04
2014-11-06,ARKG,BMRN US Equity,BMRN,09061G101,0.9937,238,19601.68
2014-11-06,ARKG,ABBV US Equity,ABBV,00287Y109,0.9925,320,19577.6
2014-11-06,ARKG,CLVSQ US Equity,CLVSQ,189464100,0.9897,330,19522.8
2014-11-06,ARKG,EXAS US Equity,EXAS,30063P105,0.986,784,19451.04
2014-11-06,ARKG,DATA US Equity,DATA,87336U105,0.9817,240,19365.6
2014-11-06,ARKG,IONS US Equity,IONS,462222100,0.9815,422,19361.36
2014-11-06,ARKG,SPLK US Equity,SPLK,848637104,0.9792,294,19315.8
2014-11-06,ARKG,EVGN IT Equity,EVGN,,0.9713,173.4,19160.7
2014-11-06,ARKG,REGN US Equity,REGN,75886F107,0.9558,48,18854.4
2014-11-06,ARKG,SGMO US Equity,SGMO,800677106,0.9503,1574,18746.34
2014-11-06,ARKG,KITE US Equity,KITE,49803L109,0.4819,266,9506.84
2014-11-06,ARKG,ROSGQ US Equity,ROSGQ,,0.298,158,5877.6
2014-11-06,ARKG,BINDQ US Equity,BINDQ,233242106,0.2284,504,4505.76
2014-11-06,ARKG,VCYT US Equity,VCYT,92337F107,0.1993,494,3932.24
2014-11-06,ARKG,QURE US Equity,QURE,,0.1956,352,3857.92
2014-11-06,ARKG,LUMO US Equity,LUMO,55028X109,0.1924,12.4444,3794.56
2014-11-06,ARKG,LRMR US Equity,LRMR,517125100,0.1017,7.8333,2005.96
2014-11-06,ARKG,CASC US Equity,CASC,14740B606,0.0999,171,1969.92
2014-11-06,ARKG,NSTGQ US Equity,NSTGQ,63009R109,0.0994,182,1960.14
2014-11-06,ARKG,TKM CN Equity,TKM,87911B209,0.091,106,1795.64
2014-11-06,ARKG,USD Curncy,USD,,0,100000,0
2014-11-07,ARKG,ILMN US Equity,ILMN,452327109,7.1381,728,140809.76
2014-11-07,ARKG,1856613D US Equity,1856613D,61166W101,6.9621,1208,137337.52
2014-11-07,ARKG,TMO US Equity,TMO,883556102,5.9695,1010,117755.9
2014-11-07,ARKG,CPHD US Equity,CPHD,15670R107,5.1784,1914,102150.18
2014-11-07,ARKG,FMI US Equity,FMI,350465100,4.6109,3370,90956.3
2014-11-07,ARKG,PACB US Equity,PACB,69404D108,4.2989,12810,84802.2
2014-11-07,ARKG,NVS US Equity,NVS,66987V109,3.9528,848,77973.6
2014-11-07,ARKG,BAYRY US Equity,BAYRY,072730302,3.766,2136,74290.08
2014-11-07,ARKG,CRAY US Equity,CRAY,225223304,3.5652,2126,70328.08
2014-11-07,ARKG,NVDA US Equity,NVDA,67066G104,3.4317,144880,67695.18
2014-11-07,ARKG,CGEN US Equity,CGEN,,3.2077,8448,63275.52
