date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/20/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,902,510","$110,326,554.90",9.58%
04/20/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,801,821","$107,766,914.00",9.36%
04/20/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"1,890,421","$105,617,821.30",9.17%
04/20/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,912,085","$75,947,176.80",6.60%
04/20/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,000,577","$62,798,112.03",5.45%
04/20/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,222,334","$48,606,307.82",4.22%
04/20/2026,ARKG,ILLUMINA INC,ILMN,452327109,"353,885","$47,597,532.50",4.13%
04/20/2026,ARKG,NATERA INC,NTRA,632307104,"219,610","$45,766,724.00",3.98%
04/20/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"11,304,972","$42,732,794.16",3.71%
04/20/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,737,663","$40,928,061.85",3.56%
04/20/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"446,882","$40,380,257.52",3.51%
04/20/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,810,497","$38,780,845.74",3.37%
04/20/2026,ARKG,ABSCI CORP,ABSI,9.10E+110,"10,698,682","$38,301,281.56",3.33%
04/20/2026,ARKG,VERACYTE INC,VCYT,92337F107,"900,837","$30,448,290.60",2.64%
04/20/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,913,067","$27,682,079.49",2.40%
04/20/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,552,846","$27,190,333.46",2.36%
04/20/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,404,327","$24,003,582.15",2.09%
04/20/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"361,522","$23,845,991.12",2.07%
04/20/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"1,885,657","$23,269,007.38",2.02%
04/20/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,530,571","$22,395,553.35",1.95%
04/20/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"2,987,338","$19,895,671.08",1.73%
04/20/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"259,694","$19,661,432.74",1.71%
04/20/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,437,472","$16,906,768.32",1.47%
04/20/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"9,915,953","$16,757,960.57",1.46%
04/20/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"3,948,086","$15,910,786.58",1.38%
04/20/2026,ARKG,CERUS CORP,CERS,157085101,"6,711,796","$13,960,535.68",1.21%
04/20/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,758,950","$12,594,082.00",1.09%
04/20/2026,ARKG,ALAMAR BIOSCIENCES INC,,10911105,"537,463","$11,824,186.00",1.03%
04/20/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"114,383","$11,772,298.36",1.02%
04/20/2026,ARKG,ELI LILLY & CO,LLY,532457108,"11,341","$10,513,447.23",0.91%
04/20/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,241,429","$6,678,329.03",0.58%
04/20/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"453,675","$5,648,253.75",0.49%
04/20/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"4,741,610","$4,741,610.34",0.41%
